category,n_components,trustworthiness,weighted_score,task_type,seconds
Absorption,3,0.9435268902461688,-0.24654112856759505,Regression,54.91499161720276
Absorption,5,0.9504196142076639,-0.3383379944447221,Regression,5.513589143753052
Absorption,10,0.9512793257099909,-0.2635159270446663,Regression,5.508652925491333
Absorption,20,0.9500120172949936,-0.31851847813269546,Regression,5.875091075897217
Absorption,30,0.9471829560893823,-0.2915541729379449,Regression,6.371465682983398
Absorption,50,0.9492782602590946,-0.20562189745699103,Regression,7.293008327484131
Absorption,75,0.9511997885616826,-0.2609267324372101,Regression,7.733893394470215
Absorption,100,0.949680984179293,-0.07204421110918686,Regression,8.57248568534851
Distribution,3,0.9453463328275165,0.6650246305418719,Classification,37.10762095451355
Distribution,5,0.9520984825493172,0.635960591133005,Classification,74.65992832183838
Distribution,10,0.9569004215140786,0.6729064039408867,Classification,69.07724332809448
Distribution,20,0.9579577642893272,0.6167487684729064,Classification,68.44223189353943
Distribution,30,0.9561293879615579,0.6714285714285714,Classification,29.94854474067688
Distribution,50,0.9587233856010791,0.7438423645320197,Classification,51.013344526290894
Distribution,75,0.9579340751981116,0.6980295566502464,Classification,90.86719298362732
Distribution,100,0.9572190018546619,0.6724137931034483,Classification,91.32439875602722
Metabolism,3,0.8587481706288991,0.6521667217995368,Classification,64.34511828422546
Metabolism,5,0.8823099477322542,0.6615117433013563,Classification,39.930620193481445
Metabolism,10,0.8949336199629068,0.6533245120740986,Classification,50.91929841041565
Metabolism,20,0.8947877592311584,0.6216506781343036,Classification,57.60472011566162
Metabolism,30,0.894497285449334,0.6228911677141912,Classification,40.52107524871826
Metabolism,50,0.8931291519136739,0.610899768441945,Classification,24.72130036354065
Metabolism,75,0.8933481537683359,0.6008104531921932,Classification,27.797010898590088
Metabolism,100,0.8945594166245152,0.6401753225272908,Classification,29.97851824760437
Excretion,3,0.9025714886119328,-0.46310733781200353,Regression,9.309661388397217
Excretion,5,0.9051781240113522,-0.2307037681977207,Regression,8.5147225856781
Excretion,10,0.9128561498795726,-0.6009486754815747,Regression,8.333968877792358
Excretion,20,0.9124670412270431,-0.6895592434346915,Regression,8.81617546081543
Excretion,30,0.9141180165388496,-0.8519249784313359,Regression,9.530037879943848
Excretion,50,0.912247985756545,-0.5152036965796749,Regression,10.301136016845703
Excretion,75,0.9127088659041522,-1.1019076964323813,Regression,11.689135551452637
Excretion,100,0.9150004272112802,-0.799425468628973,Regression,12.541352272033691
Toxicity,3,0.9196049537797533,0.665648854961832,Classification,3.522033452987671
Toxicity,5,0.9210654813669598,0.6870229007633588,Classification,3.1183764934539795
Toxicity,10,0.9230833896994879,0.6549618320610687,Classification,3.2962441444396973
Toxicity,20,0.9255287145295842,0.6961832061068702,Classification,3.3482329845428467
Toxicity,30,0.9239259831867813,0.6534351145038167,Classification,3.8317224979400635
Toxicity,50,0.925803620317583,0.6916030534351145,Classification,4.4229371547698975
Toxicity,75,0.9256364544078333,0.5648854961832062,Classification,4.673431873321533
Toxicity,100,0.9211218475214997,0.6519083969465649,Classification,5.24867057800293
